account_id,age,gender,amount,duration,payments,status,popul,average_salary,unemployment_96 / 100,entrepreneur_per_1000,crimes_96 / popul,card_type,month_outcome,month_income
1284,53,m,52512,12,4376.00,C,157042,8743,0.024300,111,0.0248,no,6345.923944,7942.377465
1318,59,m,185544,36,5154.00,C,124605,8772,0.049800,126,0.0253,no,1229.133333,2020.444928
1329,55,m,23520,12,1960.00,A,107911,8240,0.035600,99,0.0176,no,2216.878571,2637.582143
1374,30,m,389136,48,8107.00,C,107911,8240,0.035600,99,0.0176,no,9030.396429,11348.073214
1375,38,m,45336,24,1889.00,A,51428,8402,0.039800,120,0.0214,no,10381.309677,11666.461290
1389,57,m,125472,24,5228.00,C,125236,9675,0.076800,100,0.0414,no,6645.752941,7933.022059
1407,51,f,125472,24,5228.00,C,51428,8402,0.039800,120,0.0214,no,8937.600000,10025.688333
1447,31,f,100080,48,2085.00,C,114200,8403,0.057200,105,0.0238,no,224.528302,789.484906
1480,52,f,123300,36,3425.00,C,118650,9832,0.044800,114,0.0461,classic,8980.000000,10367.820000
1498,47,m,165780,60,2763.00,C,145688,8544,0.018600,109,0.0199,no,6623.089855,8256.992754
1527,19,f,164052,36,4557.00,B,51313,8930,0.042000,108,0.0283,no,12750.018182,17918.486364
1528,34,m,191088,48,3981.00,C,102609,8187,0.054500,94,0.0208,no,4535.766667,5246.727778
1580,29,m,194256,24,8094.00,C,42821,8173,0.070100,124,0.0317,classic,13197.634483,15384.303448
1583,27,f,388512,48,8094.00,D,42821,8173,0.070100,124,0.0317,no,8205.530233,10663.116279
1603,37,f,78936,12,6578.00,A,51313,8930,0.042000,108,0.0283,no,5446.461538,7338.846154
1638,60,m,64224,24,2676.00,C,77963,8546,0.040200,126,0.0400,no,2971.933333,3366.143333
1656,58,m,189792,48,3954.00,C,162580,9538,0.018100,111,0.0333,no,7016.544928,7916.104348
1698,45,f,141948,36,3943.00,C,228848,9893,0.047200,96,0.0257,classic,504.761905,1629.519048
1718,55,m,172272,24,7178.00,C,161227,8678,0.055700,102,0.0285,no,6824.232836,7907.279104
1762,54,f,248148,36,6893.00,A,72541,8594,0.020100,112,0.0210,no,11357.318519,12879.859259
1766,44,m,30060,60,501.00,C,72541,8594,0.020100,112,0.0210,classic,10429.834146,11613.336585
1772,42,f,202788,36,5633.00,C,51313,8930,0.042000,108,0.0283,no,12683.842105,17852.360526
1776,49,f,43200,24,1800.00,C,159617,9198,0.042800,131,0.0384,no,1753.484375,2341.285938
1787,45,f,96396,12,8033.00,B,94812,9650,0.036700,100,0.0296,no,NULL,3350.000000
1801,24,m,165960,36,4610.00,A,112709,8369,0.023100,117,0.0232,no,27333.800000,38315.616667
1808,23,m,385584,48,8033.00,C,72541,8594,0.020100,112,0.0210,no,6312.011765,7077.791176
1811,51,f,239460,60,3991.00,C,228848,9893,0.047200,96,0.0257,no,11474.258824,14175.464706
1819,45,m,143676,36,3991.00,C,157042,8743,0.024300,111,0.0248,no,3237.183333,3687.981667
1843,53,f,105804,36,2939.00,A,177686,10045,0.017100,135,0.0354,classic,12288.171429,17187.114286
1862,46,f,396120,60,6602.00,C,51428,8402,0.039800,120,0.0214,classic,13530.888889,17259.228889
1869,31,f,37944,36,1054.00,C,1204953,12541,0.004300,167,0.0822,classic,7293.406667,8508.661667
1876,19,m,209040,24,8710.00,C,1204953,12541,0.004300,167,0.0822,junior,2918.032353,3763.683824
1886,38,f,162468,36,4513.00,C,105058,9272,0.032200,118,0.0429,no,1804.761905,3581.876190
1888,39,m,57360,12,4780.00,B,77963,8546,0.040200,126,0.0400,no,5199.769091,5820.541818
1906,27,m,44952,24,1873.00,C,1204953,12541,0.004300,167,0.0822,no,6793.831579,7900.784211
1928,49,m,55632,24,2318.00,C,285387,10177,0.077500,81,0.0354,no,3471.101408,5119.992958
1967,40,m,249312,48,5194.00,C,170449,10787,0.030900,131,0.0367,no,6978.564103,8399.761538
1978,31,f,205200,36,5700.00,A,1204953,12541,0.004300,167,0.0822,no,23197.000000,27110.613043
1993,18,f,68400,12,5700.00,B,228848,9893,0.047200,96,0.0257,no,1437.037037,2323.933333
2000,60,m,290820,60,4847.00,C,95616,9307,0.044300,118,0.0318,classic,3063.457576,3872.381818
2018,57,m,38520,12,3210.00,A,95907,8388,0.029400,87,0.0174,no,2672.479167,2964.029167
2035,54,m,176328,36,4898.00,C,107911,8240,0.035600,99,0.0176,no,9829.650000,10911.906667
2051,22,f,293880,60,4898.00,D,197099,9624,0.023100,145,0.0216,gold,8375.470588,9958.649020
2055,27,m,271260,60,4521.00,C,114006,9065,0.053900,123,0.0365,no,2540.393939,2715.922727
2062,55,f,86184,12,7182.00,A,285387,10177,0.077500,81,0.0354,classic,5514.951111,8190.617778
2064,19,f,83628,36,2323.00,C,387570,9897,0.019600,140,0.0482,no,1513.523636,2285.627273
2073,41,m,44640,24,1860.00,C,108871,8444,0.034700,106,0.0212,no,2993.788406,3562.586957
2080,60,m,214596,36,5961.00,C,323870,10673,0.054400,100,0.0566,classic,3321.428571,4866.323214
2106,19,f,101520,12,8460.00,A,1204953,12541,0.004300,167,0.0822,no,2081.564444,2453.137778
2116,23,f,92400,12,7700.00,A,285387,10177,0.077500,81,0.0354,classic,6651.440000,9114.423636
2134,43,f,22932,36,637.00,C,139012,8363,0.034900,108,0.0201,no,1385.596000,2307.398000
2142,33,f,23328,12,1944.00,C,95907,8388,0.029400,87,0.0174,no,1510.083871,1958.600000
2143,16,f,71460,36,1985.00,C,1204953,12541,0.004300,167,0.0822,junior,3005.359091,4133.743182
2153,53,m,61560,12,5130.00,A,51313,8930,0.042000,108,0.0283,classic,6095.608696,7734.221739
2165,41,m,78600,24,3275.00,C,121947,8541,0.029700,131,0.0315,no,796.363636,2015.612727
2167,29,f,170256,24,7094.00,A,93931,8427,0.015400,107,0.0204,classic,15632.923810,17694.966667
2176,27,f,299088,36,8308.00,B,106054,8110,0.065500,109,0.0290,no,39172.255556,45153.294444
2187,57,m,53472,12,4456.00,A,81344,8899,0.039700,149,0.0306,no,15338.620690,17392.110345
2218,44,f,182040,60,3034.00,C,51428,8402,0.039800,120,0.0214,classic,13929.476471,15788.170588
2227,25,f,92976,24,3874.00,A,51313,8930,0.042000,108,0.0283,classic,14173.600000,19054.768571
2228,50,m,185952,48,3874.00,C,125236,9675,0.076800,100,0.0414,no,6447.115385,9615.773077
2236,38,m,139464,36,3874.00,D,182027,8746,0.037400,90,0.0244,no,2390.909091,3337.800000
2245,30,f,347952,48,7249.00,C,45714,8843,0.036000,113,0.0194,no,27729.350000,34802.458333
2246,47,f,415800,60,6930.00,C,1204953,12541,0.004300,167,0.0822,no,4562.714286,4837.826531
2247,46,f,72504,24,3021.00,C,122603,8991,0.020100,128,0.0430,no,7121.334694,7739.951020
2262,48,m,230220,36,6395.00,C,53921,8598,0.032600,123,0.0348,classic,15282.985915,17165.087324
2268,25,m,20196,36,561.00,C,1204953,12541,0.004300,167,0.0822,no,8933.838095,10497.757143
2279,24,m,314688,48,6556.00,C,88884,8507,0.018500,132,0.0301,classic,8614.615385,12552.672308
2322,17,m,46320,24,1930.00,A,133777,8705,0.076100,116,0.0363,no,16475.941463,17792.597561
2334,38,m,48312,24,2013.00,C,102609,8187,0.054500,94,0.0208,no,4466.530909,5215.300000
2335,50,f,541200,60,9020.00,D,285387,10177,0.077500,81,0.0354,no,5279.041379,5388.712069
2343,15,f,99336,24,4139.00,A,228848,9893,0.047200,96,0.0257,no,2871.929412,3778.523529
2345,45,m,199680,60,3328.00,C,139012,8363,0.034900,108,0.0201,no,9732.147826,12262.721739
2350,24,f,159744,48,3328.00,C,70699,8968,0.033500,131,0.0270,classic,3275.811538,4306.551923
2352,29,f,49440,60,824.00,C,285387,10177,0.077500,81,0.0354,no,7246.435897,8400.838462
2361,38,f,156672,36,4352.00,A,72541,8594,0.020100,112,0.0210,no,4170.940741,5032.848148
2413,44,f,17952,12,1496.00,C,133777,8705,0.076100,116,0.0363,no,2421.713043,2871.879710
2419,54,m,95808,12,7984.00,A,161854,9425,0.025000,125,0.0240,no,26401.916667,31620.479167
2445,19,f,293160,60,4886.00,C,139012,8363,0.034900,108,0.0201,no,8342.447458,10094.854237
2456,41,m,200976,48,4187.00,C,114200,8403,0.057200,105,0.0238,no,4123.225641,5558.751282
2486,35,m,24516,12,2043.00,A,1204953,12541,0.004300,167,0.0822,no,34576.400000,52557.083333
2496,45,f,165120,60,2752.00,C,121947,8541,0.029700,131,0.0315,no,4867.472222,5499.288889
2516,51,f,466608,48,9721.00,C,77963,8546,0.040200,126,0.0400,no,5723.479245,6870.190566
2545,61,m,428784,48,8933.00,C,1204953,12541,0.004300,167,0.0822,no,3362.901639,3505.642623
2572,23,f,360000,48,7500.00,C,197099,9624,0.023100,145,0.0216,no,21380.673171,25497.709756
2580,24,f,89340,60,1489.00,C,110643,8441,0.044800,115,0.0204,no,1902.627907,2868.269767
2622,33,f,136344,24,5681.00,C,1204953,12541,0.004300,167,0.0822,no,4754.571875,5377.189063
2694,31,f,91632,12,7636.00,A,139012,8363,0.034900,108,0.0201,no,14579.485714,16941.042857
2699,20,f,231168,48,4816.00,C,182027,8746,0.037400,90,0.0244,junior,12634.238806,14475.973134
2705,43,f,93888,36,2608.00,A,86513,8288,0.045200,110,0.0169,no,4572.727273,7728.763636
2720,61,m,93888,36,2608.00,C,88884,8507,0.018500,132,0.0301,no,9818.492063,11011.487302
2725,51,m,69624,36,1934.00,C,139012,8363,0.034900,108,0.0201,classic,5394.257143,6106.481429
2728,41,m,156420,60,2607.00,C,139012,8363,0.034900,108,0.0201,no,4817.907692,5306.703077
2753,26,f,66432,24,2768.00,C,170449,10787,0.030900,131,0.0367,no,7823.917857,8140.794643
2754,44,f,335280,48,6985.00,C,161954,8720,0.045000,116,0.0225,no,11757.884615,12957.611538
2762,27,m,111384,24,4641.00,A,75637,9622,0.005900,154,0.0467,no,52386.355556,58558.955556
2824,46,f,50460,60,841.00,C,75637,9622,0.005900,154,0.0467,gold,6482.411111,8789.688889
2872,44,f,268320,60,4472.00,C,1204953,12541,0.004300,167,0.0822,no,2201.411538,2444.738462
2910,45,f,437460,60,7291.00,C,228848,9893,0.047200,96,0.0257,classic,6714.074627,7221.765672
2912,46,m,380160,60,6336.00,C,323870,10673,0.054400,100,0.0566,classic,22188.913514,23734.337838
2933,54,m,272520,60,4542.00,C,92084,10124,0.005400,141,0.0469,no,22581.337500,29230.975000
2936,26,m,504000,60,8400.00,C,75232,8980,0.022100,111,0.0374,no,4086.236667,4519.193333
2962,55,f,31248,12,2604.00,A,1204953,12541,0.004300,167,0.0822,no,29981.530435,37290.817391
2982,59,m,41256,12,3438.00,C,51428,8402,0.039800,120,0.0214,gold,13606.409524,19545.276190
2986,39,m,24792,24,1033.00,C,86513,8288,0.045200,110,0.0169,classic,7632.966102,8805.659322
2988,50,m,88608,12,7384.00,C,125832,8512,0.041200,102,0.0167,no,11381.818182,12247.993939
2994,32,f,48744,36,1354.00,C,148545,8909,0.055600,113,0.0242,classic,1097.727273,2527.075000
3005,50,m,390000,48,8125.00,C,95907,8388,0.029400,87,0.0174,no,3475.953846,3832.870769
3021,37,f,155616,48,3242.00,C,92084,10124,0.005400,141,0.0469,no,2660.506383,3180.655319
3037,15,f,277884,36,7719.00,D,105606,8254,0.037600,97,0.0220,no,15731.256410,16229.358974
3050,22,m,82896,12,6908.00,A,75685,8208,0.022600,155,0.0281,classic,28219.830000,35114.980000
3064,29,f,15420,12,1285.00,A,1204953,12541,0.004300,167,0.0822,no,8511.584615,9737.253846
3084,51,f,253512,36,7042.00,D,108871,8444,0.034700,106,0.0212,no,2764.186047,3992.058140
3112,18,f,123216,48,2567.00,C,85852,8965,0.082300,104,0.0329,junior,19643.729730,22041.051351
3115,60,m,321180,60,5353.00,C,177686,10045,0.017100,135,0.0354,no,4598.604348,6015.376087
3137,47,f,253560,60,4226.00,C,119895,10446,0.094000,90,0.0396,no,6997.552941,8477.536765
3143,43,f,130896,24,5454.00,C,85852,8965,0.082300,104,0.0329,no,2902.818750,3584.817188
3161,44,m,30012,12,2501.00,C,78955,9060,0.024400,124,0.0217,no,5485.772308,8050.332308
3166,22,m,177744,48,3703.00,D,108871,8444,0.034700,106,0.0212,classic,9721.954167,13610.104167
3189,57,m,222180,60,3703.00,D,45714,8843,0.036000,113,0.0194,no,6452.927660,7993.438298
3229,60,m,39024,12,3252.00,A,197099,9624,0.023100,145,0.0216,classic,12507.769231,13839.288462
3230,41,f,77184,36,2144.00,C,1204953,12541,0.004300,167,0.0822,no,11600.697778,12707.364444
3249,39,m,68124,12,5677.00,A,323870,10673,0.054400,100,0.0566,no,3915.545455,4214.292727
3273,44,m,94512,12,7876.00,B,323870,10673,0.054400,100,0.0566,no,18307.742857,20205.587500
3293,34,f,276084,36,7669.00,C,1204953,12541,0.004300,167,0.0822,classic,8399.337143,11286.757143
3329,33,m,19248,12,1604.00,A,75232,8980,0.022100,111,0.0374,no,4312.413559,5048.608475
3353,43,f,146064,24,6086.00,C,323870,10673,0.054400,100,0.0566,no,2161.808163,3080.597959
3354,41,f,4980,12,415.00,A,86513,8288,0.045200,110,0.0169,no,4399.855556,5649.877778
3390,52,f,40632,12,3386.00,C,107870,8754,0.043100,137,0.0359,no,3948.290323,5332.069355
3403,34,m,71820,36,1995.00,C,86513,8288,0.045200,110,0.0169,no,4506.861538,6489.533846
3418,34,m,207264,48,4318.00,C,95907,8388,0.029400,87,0.0174,no,6616.981132,8412.752830
3448,17,f,68664,24,2861.00,C,109164,8757,0.039500,96,0.0226,no,4225.614035,5090.078947
3455,61,m,67464,12,5622.00,A,125236,9675,0.076800,100,0.0414,no,7324.044000,8819.846000
3460,56,m,140688,48,2931.00,C,93931,8427,0.015400,107,0.0204,no,6199.384375,7676.956250
3489,44,f,44088,24,1837.00,A,81344,8899,0.039700,149,0.0306,no,2700.090323,4131.332258
3556,47,f,174840,60,2914.00,C,109164,8757,0.039500,96,0.0226,no,2304.894118,3900.335294
3562,20,f,174960,24,7290.00,C,102609,8187,0.054500,94,0.0208,no,11359.021875,13901.062500
3608,24,m,161496,36,4486.00,C,226122,8994,0.047900,110,0.0407,no,9410.650000,11489.337500
3629,17,m,158760,60,2646.00,C,78955,9060,0.024400,124,0.0217,no,12100.578571,14138.592857
3637,51,f,14028,12,1169.00,A,107911,8240,0.035600,99,0.0176,no,6164.478571,7089.210714
3664,21,m,271584,48,5658.00,C,1204953,12541,0.004300,167,0.0822,classic,10084.489286,12305.253571
3674,40,m,23628,12,1969.00,A,85852,8965,0.082300,104,0.0329,no,24661.290000,28870.510000
3678,26,m,316140,60,5269.00,D,1204953,12541,0.004300,167,0.0822,no,10508.112000,11020.588000
3679,32,m,444864,48,9268.00,C,197099,9624,0.023100,145,0.0216,no,4404.514286,5398.421429
3711,32,f,460980,60,7683.00,D,75232,8980,0.022100,111,0.0374,no,2302.227586,3023.151724
3747,37,f,76380,12,6365.00,A,1204953,12541,0.004300,167,0.0822,no,2865.933333,3830.800000
3752,32,f,18564,12,1547.00,A,1204953,12541,0.004300,167,0.0822,no,1266.666667,2869.100000
3754,20,m,68544,24,2856.00,A,114006,9065,0.053900,123,0.0365,no,3592.086957,5510.128261
3804,46,f,63252,12,5271.00,A,94725,9920,0.028700,130,0.0512,no,17621.102703,21632.186486
3834,53,f,23052,12,1921.00,A,387570,9897,0.019600,140,0.0482,no,14755.050000,16181.640000
3859,35,m,307200,60,5120.00,D,107911,8240,0.035600,99,0.0176,no,6371.476923,8301.240385
3862,56,m,74916,36,2081.00,C,1204953,12541,0.004300,167,0.0822,no,12251.141176,14799.289706
3875,48,m,153936,24,6414.00,C,105606,8254,0.037600,97,0.0220,no,1214.754098,2865.170492
3906,36,f,334620,60,5577.00,C,139012,8363,0.034900,108,0.0201,no,3529.974194,4641.508065
3907,37,f,133848,24,5577.00,C,114006,9065,0.053900,123,0.0365,no,8219.225806,8705.633871
3916,26,m,96984,36,2694.00,C,112065,11277,0.014400,127,0.0445,no,2554.409091,2758.148485
3942,57,f,107352,36,2982.00,C,67298,8561,0.012900,110,0.0167,no,8321.157895,9393.536842
3953,37,f,63576,12,5298.00,C,1204953,12541,0.004300,167,0.0822,no,2780.486667,3507.740000
3967,58,m,84600,36,2350.00,D,387570,9897,0.019600,140,0.0482,no,2868.876000,3523.450000
4033,19,f,84288,48,1756.00,C,161954,8720,0.045000,116,0.0225,no,406.000000,1153.630000
4052,19,m,106128,36,2948.00,C,159617,9198,0.042800,131,0.0384,no,2599.661017,4164.716949
4079,56,m,158976,48,3312.00,C,139012,8363,0.034900,108,0.0201,no,19150.977778,25117.444444
4081,27,m,137904,24,5746.00,B,75637,9622,0.005900,154,0.0467,no,605.882353,1639.994118
4099,36,f,41856,48,872.00,C,387570,9897,0.019600,140,0.0482,classic,4569.655556,5256.124074
4116,51,m,151200,36,4200.00,C,77963,8546,0.040200,126,0.0400,no,4620.612308,5901.333846
4127,59,m,100800,24,4200.00,D,102609,8187,0.054500,94,0.0208,no,3599.552727,3616.018182
4144,24,f,212976,36,5916.00,C,1204953,12541,0.004300,167,0.0822,no,12426.412308,14538.696923
4190,46,m,405780,60,6763.00,C,145688,8544,0.018600,109,0.0199,no,5494.141818,6249.274545
4259,35,f,79632,24,3318.00,A,125832,8512,0.041200,102,0.0167,no,8142.947368,12866.447368
4260,26,f,244560,60,4076.00,C,109164,8757,0.039500,96,0.0226,no,10051.047059,13188.876471
4268,25,m,41988,12,3499.00,C,148545,8909,0.055600,113,0.0242,no,3698.051429,4525.927143
4293,40,f,164196,36,4561.00,C,197099,9624,0.023100,145,0.0216,no,4363.288462,6726.430769
4320,51,f,51360,12,4280.00,B,117897,8814,0.057400,107,0.0175,no,12359.045455,13532.314545
4337,45,m,51408,24,2142.00,A,45714,8843,0.036000,113,0.0194,classic,15731.165217,19728.073913
4342,49,f,100128,24,4172.00,C,323870,10673,0.054400,100,0.0566,classic,9893.952542,11909.169492
4354,56,f,327660,60,5461.00,C,85852,8965,0.082300,104,0.0329,classic,8962.110145,10862.452174
4361,50,f,90156,12,7513.00,A,42821,8173,0.070100,124,0.0317,gold,10570.336000,12714.550000
4413,26,m,221280,48,4610.00,C,323870,10673,0.054400,100,0.0566,no,14422.160000,17512.224000
4414,43,f,97224,24,4051.00,A,74062,8114,0.026200,119,0.0159,no,8432.008000,9211.192000
4415,41,f,74040,12,6170.00,A,182027,8746,0.037400,90,0.0244,no,10147.043137,10839.401961
4423,28,f,73836,36,2051.00,A,119895,10446,0.094000,90,0.0396,classic,3787.878788,5831.912121
4427,33,m,87816,12,7318.00,A,1204953,12541,0.004300,167,0.0822,no,9140.050000,9923.330000
4447,32,m,192744,36,5354.00,C,145688,8544,0.018600,109,0.0199,no,3636.204444,4767.895556
4448,23,f,192744,36,5354.00,A,110643,8441,0.044800,115,0.0204,classic,11583.142857,14522.766667
4456,28,m,321240,60,5354.00,C,177686,10045,0.017100,135,0.0354,classic,13531.459016,15050.268852
4462,60,m,66480,24,2770.00,B,182027,8746,0.037400,90,0.0244,no,1265.000000,2137.280000
4467,29,m,86184,36,2394.00,C,74062,8114,0.026200,119,0.0159,no,3089.194030,3876.853731
4473,34,m,93960,60,1566.00,C,77917,8390,0.028900,132,0.0272,no,6948.500000,7980.762500
4476,23,f,15192,24,633.00,A,122603,8991,0.020100,128,0.0430,no,7676.095455,8070.459091
4503,20,m,135360,48,2820.00,C,102609,8187,0.054500,94,0.0208,junior,12511.983333,16759.455556
4533,53,f,81144,36,2254.00,C,228848,9893,0.047200,96,0.0257,classic,5781.178125,7745.665625
4550,50,f,61320,60,1022.00,C,124605,8772,0.049800,126,0.0253,no,1418.836667,1770.811667
4576,30,m,300204,36,8339.00,A,161954,8720,0.045000,116,0.0225,no,12738.635294,14734.682353
4580,22,f,20220,12,1685.00,A,81344,8899,0.039700,149,0.0306,classic,7487.180645,8496.967742
4585,49,m,64656,48,1347.00,C,67298,8561,0.012900,110,0.0167,classic,353.333333,1347.753333
4616,22,m,66696,24,2779.00,C,1204953,12541,0.004300,167,0.0822,classic,886.243333,2009.918333
4618,30,f,66696,24,2779.00,D,75232,8980,0.022100,111,0.0374,no,5274.876000,5525.916000
4626,26,f,33348,12,2779.00,A,81344,8899,0.039700,149,0.0306,no,5629.169811,7126.581132
4631,46,m,87528,24,3647.00,C,148545,8909,0.055600,113,0.0242,classic,3052.542373,4918.018644
4650,16,m,402000,60,6700.00,C,149893,9753,0.050500,109,0.0393,no,1702.116279,2102.860465
4660,44,f,106944,24,4456.00,C,86513,8288,0.045200,110,0.0169,no,1599.192308,3060.242308
4681,39,f,162624,48,3388.00,C,285387,10177,0.077500,81,0.0354,no,7942.000000,8916.968000
4715,42,f,97176,24,4049.00,C,112065,11277,0.014400,127,0.0445,classic,2962.000000,5066.970000
